PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration Out Prob,Set Migration,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb,comp_coef
22,554020.7335124147,4893990.585478699,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,553156.9598887953,4895231.93576352,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,561429.9839384711,4897081.0326795075,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,15.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,561980.4740448695,4896910.899998641,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.25086705202312,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,568116.9367420715,4898458.471928619,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,8.843103448275862,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,557234.7823781174,4901148.798986421,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,557794.2051204776,4900411.65185776,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,15.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,557930.5197203927,4899470.135381841,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,15.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,557912.6356223669,4898486.515588823,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.109090909090909,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,557474.8883800087,4903290.386411769,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,558042.2029458382,4903995.542055484,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,561937.0350707846,4906013.417761456,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.488618421052632,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,565498.4085252832,4907037.963963212,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
