PatchID,X,Y,K,K StDev,N0,Natal Grounds,Migration Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Back,Mortality Eggs,Migration Out Prob,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev
1,570653.8387680342,4896417.752246113,200,10,200,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,9.8|10|10.2|10.4|10.6|10.8|11|11.2|11.4|11.6|11.8|12|12.2|12.4|12.6|12.8|13|13.2|13.4|13.6|13.8|14|14.2|14.4|14.6|14.8|15|15.2|15.4|15.6|15.8|16|16.2|16.4|16.6|16.8|17|17.2|17.4|17.6|17.8|18|18.2|18.4|18.6|18.8|19|19.2|19.4|19.6|19.8|20,0,365,0
2,559725.9236323171,4897608.2315453375,200,10,200,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,15.8|16|16.2|16.4|16.6|16.8|17|17.2|17.4|17.6|17.8|18|18.2|18.4|18.6|18.8|19|19.2|19.4|19.6|19.8|20|20.2|20.4|20.6|20.8|21|21.2|21.4|21.6|21.8|22|22.2|22.4|22.6|22.8|23|23.2|23.4|23.6|23.8|24|24.2|24.4|24.6|24.8|25|25.2|25.4|25.6|25.8|26,0,365,0
3,558735.0238578571,4896299.212579836,200,10,200,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.10909090909091|5.30909090909091|5.50909090909091|5.70909090909091|5.90909090909091|6.10909090909091|6.30909090909091|6.50909090909091|6.70909090909091|6.90909090909091|7.10909090909091|7.30909090909091|7.50909090909091|7.70909090909091|7.90909090909091|8.10909090909091|8.30909090909091|8.50909090909091|8.70909090909091|8.90909090909091|9.10909090909091|9.30909090909091|9.50909090909091|9.7090909090909|9.9090909090909|10.1090909090909|10.3090909090909|10.5090909090909|10.7090909090909|10.9090909090909|11.1090909090909|11.3090909090909|11.5090909090909|11.7090909090909|11.9090909090909|12.1090909090909|12.3090909090909|12.5090909090909|12.7090909090909|12.9090909090909|13.1090909090909|13.3090909090909|13.5090909090909|13.7090909090909|13.9090909090909|14.1090909090909|14.3090909090909|14.5090909090909|14.7090909090909|14.9090909090909|15.1090909090909|15.3090909090909,0,365,0
4,560253.3201963388,4896335.195065461,200,10,200,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,4.85454545454545|5.05454545454545|5.25454545454545|5.45454545454546|5.65454545454546|5.85454545454546|6.05454545454546|6.25454545454546|6.45454545454546|6.65454545454546|6.85454545454546|7.05454545454546|7.25454545454546|7.45454545454546|7.65454545454546|7.85454545454546|8.05454545454546|8.25454545454546|8.45454545454546|8.65454545454545|8.85454545454545|9.05454545454545|9.25454545454545|9.45454545454545|9.65454545454545|9.85454545454545|10.0545454545454|10.2545454545454|10.4545454545454|10.6545454545454|10.8545454545454|11.0545454545454|11.2545454545454|11.4545454545454|11.6545454545454|11.8545454545454|12.0545454545454|12.2545454545454|12.4545454545454|12.6545454545454|12.8545454545454|13.0545454545454|13.2545454545454|13.4545454545454|13.6545454545454|13.8545454545454|14.0545454545454|14.2545454545454|14.4545454545454|14.6545454545454|14.8545454545454|15.0545454545454,0,365,0
5,561911.025677487,4905611.787402509,200,10,200,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,11.4886184210526|11.6886184210526|11.8886184210526|12.0886184210526|12.2886184210526|12.4886184210526|12.6886184210526|12.8886184210526|13.0886184210526|13.2886184210526|13.4886184210526|13.6886184210526|13.8886184210526|14.0886184210526|14.2886184210526|14.4886184210526|14.6886184210526|14.8886184210526|15.0886184210526|15.2886184210526|15.4886184210526|15.6886184210526|15.8886184210526|16.0886184210526|16.2886184210526|16.4886184210526|16.6886184210526|16.8886184210526|17.0886184210526|17.2886184210526|17.4886184210526|17.6886184210526|17.8886184210526|18.0886184210526|18.2886184210526|18.4886184210526|18.6886184210526|18.8886184210526|19.0886184210526|19.2886184210526|19.4886184210526|19.6886184210526|19.8886184210526|20.0886184210526|20.2886184210526|20.4886184210526|20.6886184210526|20.8886184210526|21.0886184210526|21.2886184210526|21.4886184210526|21.6886184210526,0,365,0
