Allele List,Frequency
LOclMSU26A7,0.0
LOclMSU26A8,0.0
LOclMSU26A9,0.0
LOclMSU26A10,0.0
LOclMSU27A0,0.0
LOclMSU27A1,0.0
LOclMSU27A2,0.0333
LOclMSU27A3,0.0167
LOclMSU27A4,0.0
LOclMSU27A5,0.9167
LOclMSU27A6,0.0167
LOclMSU27A7,0.0
LOclMSU27A8,0.0
LOclMSU27A9,0.0
LOclMSU27A10,0.0
LOclMSU27A11,0.0
LOclMSU27A12,0.0
LOclMSU27A13,0.0167
LOclMSU27A14,0.0
LOclMSU27A15,0.0
LOclMSU29A0,0.0
LOclMSU29A1,0.1667
LOclMSU29A2,0.0
LOclMSU29A3,0.45
LOclMSU29A4,0.0
LOclMSU29A5,0.0167
LOclMSU29A6,0.25
LOclMSU29A7,0.0
LOclMSU29A8,0.1167
LOclMSU29A9,0.0
LOclMSU29A10,0.0
LOclMSU29A11,0.0
LOclMSU29A12,0.0
LOclMSU30A0,0.0
LOclMSU30A1,0.3167
LOclMSU30A2,0.0833
LOclMSU30A3,0.0
LOclMSU30A4,0.0167
LOclMSU30A5,0.0833
LOclMSU30A6,0.0
LOclMSU30A7,0.0833
LOclMSU30A8,0.1
LOclMSU30A9,0.2167
LOclMSU30A10,0.05
LOclMSU30A11,0.0
LOclMSU30A12,0.05
LOclMSU31A0,0.1167
LOclMSU31A1,0.85
LOclMSU31A2,0.0
LOclMSU31A3,0.0167
LOclMSU31A4,0.0
LOclMSU31A5,0.0
LOclMSU31A6,0.0167
LOclMSU31A7,0.0
LOclMSU31A8,0.0
LOclMSU33A0,0.0
LOclMSU33A1,0.0
LOclMSU33A2,0.0345
LOclMSU33A3,0.0
LOclMSU33A4,0.0
LOclMSU33A5,0.0
LOclMSU33A6,0.0
LOclMSU33A7,0.1207
LOclMSU33A8,0.3103
LOclMSU33A9,0.0
LOclMSU33A10,0.2241
LOclMSU33A11,0.1552
LOclMSU33A12,0.0517
LOclMSU33A13,0.1034
LOclMSU34A0,0.0
LOclMSU34A1,0.4
LOclMSU34A2,0.1333
LOclMSU34A3,0.0
LOclMSU34A4,0.0
LOclMSU34A5,0.0
LOclMSU34A6,0.1
LOclMSU34A7,0.0
LOclMSU34A8,0.0667
LOclMSU34A9,0.3
LOclMSU34A10,0.0
LOclMSU34A11,0.0
LOclMSU34A12,0.0
LOclMSU35A0,0.0
LOclMSU35A1,0.0
LOclMSU35A2,0.0167
LOclMSU35A3,0.0
LOclMSU35A4,0.0167
LOclMSU35A5,0.0
LOclMSU35A6,0.0167
LOclMSU35A7,0.1167
LOclMSU35A8,0.0167
LOclMSU35A9,0.2833
LOclMSU35A10,0.5333
LOclMSU35A11,0.0
LOclMSU35A12,0.0
LOclMSU35A13,0.0
LOclMSU36A0,0.0
LOclMSU36A1,0.0333
LOclMSU36A2,0.1
LOclMSU36A3,0.2
LOclMSU36A4,0.1833
LOclMSU36A5,0.1667
LOclMSU36A6,0.25
LOclMSU36A7,0.0333
LOclMSU36A8,0.0
LOclMSU36A9,0.0
LOclMSU36A10,0.0
LOclMSU36A11,0.0
LOclMSU36A12,0.0
LOclMSU36A13,0.0
LOclMSU36A14,0.0
LOclMSU36A15,0.0
LOclMSU36A16,0.0
LOclMSU36A17,0.0
LOclMSU36A18,0.0
LOclMSU36A19,0.0
LOclMSU36A20,0.0
LOclMSU36A21,0.0333
LOclMSU36A22,0.0
LOclMSU36A23,0.0
LOclMSU36A24,0.0
LOclMSU36A25,0.0
LOclMSU36A26,0.0
LOclMSU36A27,0.0
LOclMSU36A28,0.0
LOclMSU36A29,0.0
LOclMSU36A30,0.0
LOclMSU36A31,0.0
