points,X,Y,id,mean_temp,sd_temp
"c(570151.583567895, 4897326.27191955)",570151.5835678948,4897326.271919547,0,9.8,0
"c(570653.838768034, 4896417.75224611)",570653.8387680342,4896417.752246113,1,9.8,0
"c(565078.52523077, 4907766.25203841)",565078.5252307705,4907766.252038415,2,10.702890173410404,2.95344551931171
"c(553509.836920271, 4891002.03183199)",553509.8369202708,4891002.031831989,3,5.00253164556962,0.559526971358867
"c(553367.498195516, 4890167.94426507)",553367.4981955163,4890167.944265067,4,5.00253164556962,0.559526971358867
"c(552930.647870204, 4889420.30225353)",552930.6478702041,4889420.302253526,5,7.875,2.4958298553119898
"c(554126.474912508, 4892291.33147551)",554126.4749125082,4892291.331475512,6,5.655681818181818,1.2262322401535766
"c(553656.516909373, 4891516.2322575)",553656.5169093725,4891516.232257501,7,5.00253164556962,0.559526971358867
"c(561148.970483619, 4899627.95773112)",561148.9704836188,4899627.957731122,8,11.610086206896552,2.2269372594936616
"c(560780.54160568, 4898898.82800645)",560780.5416056802,4898898.828006453,9,15.8,0
"c(560229.185819895, 4898292.82834862)",560229.1858198945,4898292.828348622,10,15.8,0
"c(559725.923632317, 4897608.23154534)",559725.9236323171,4897608.2315453375,11,15.8,0
"c(559134.515169765, 4897013.61421186)",559134.5151697645,4897013.614211861,12,5.109090909090909,1.1316386616787446
"c(564785.082271073, 4899531.0788724)",564785.082271073,4899531.078872403,13,10.702890173410404,2.95344551931171
"c(564129.904748896, 4898957.2616528)",564129.9047488964,4898957.261652799,14,11.250867052023121,3.030573253338381
"c(563442.89814597, 4898397.60999574)",563442.8981459695,4898397.609995738,15,11.250867052023121,3.030573253338381
"c(550926.917332124, 4893189.24497236)",550926.9173321242,4893189.244972364,16,5.655681818181818,1.2262322401535766
"c(551677.585153932, 4892626.02715907)",551677.5851539315,4892626.027159065,17,5.00253164556962,0.559526971358867
"c(552084.497709242, 4891910.78157482)",552084.4977092419,4891910.781574821,18,5.00253164556962,0.559526971358867
"c(552694.291095841, 4891120.87114319)",552694.2910958411,4891120.871143194,19,5.00253164556962,0.559526971358867
"c(553136.316180139, 4890223.26558734)",553136.3161801392,4890223.265587336,20,5.00253164556962,0.559526971358867
"c(554020.733512415, 4893990.5854787)",554020.7335124147,4893990.585478699,21,5.655681818181818,1.2262322401535766
"c(553156.959888795, 4895231.93576352)",553156.9598887953,4895231.93576352,22,5.655681818181818,1.2262322401535766
"c(561429.983938471, 4897081.03267951)",561429.9839384711,4897081.0326795075,23,15.8,0
"c(561980.47404487, 4896910.89999864)",561980.4740448695,4896910.899998641,24,11.250867052023121,3.030573253338381
"c(568116.936742072, 4898458.47192862)",568116.9367420715,4898458.471928619,25,8.843103448275862,2.126690723712148
"c(557234.782378117, 4901148.79898642)",557234.7823781174,4901148.798986421,26,11.610086206896552,2.2269372594936616
"c(557794.205120478, 4900411.65185776)",557794.2051204776,4900411.65185776,27,15.8,0
"c(557930.519720393, 4899470.13538184)",557930.5197203927,4899470.135381841,28,15.8,0
"c(557912.635622367, 4898486.51558882)",557912.6356223669,4898486.515588823,29,5.109090909090909,1.1316386616787446
"c(557474.888380009, 4903290.38641177)",557474.8883800087,4903290.386411769,30,11.610086206896552,2.2269372594936616
"c(558042.202945838, 4903995.54205548)",558042.2029458382,4903995.542055484,31,11.610086206896552,2.2269372594936616
"c(561937.035070785, 4906013.41776146)",561937.0350707846,4906013.417761456,32,11.488618421052632,2.1959167553620085
"c(565498.408525283, 4907037.96396321)",565498.4085252832,4907037.963963212,33,10.702890173410404,2.95344551931171
"c(566080.097790664, 4906296.03311154)",566080.0977906636,4906296.033111541,34,10.702890173410404,2.95344551931171
"c(558735.023857857, 4896299.21257984)",558735.0238578571,4896299.212579836,35,5.109090909090909,1.1316386616787446
"c(558781.662289753, 4895374.95972836)",558781.662289753,4895374.959728357,36,4.8545454545454545,1.0123273618574715
"c(559051.328093192, 4894450.70026612)",559051.3280931921,4894450.700266115,37,4.8545454545454545,1.0123273618574715
"c(559104.26037493, 4893553.5765405)",559104.2603749295,4893553.576540495,38,4.8545454545454545,1.0123273618574715
"c(558423.520204871, 4892818.73339691)",558423.5202048713,4892818.733396914,39,4.8545454545454545,1.0123273618574715
"c(557681.946770266, 4892207.42491173)",557681.9467702657,4892207.424911734,40,5.655681818181818,1.2262322401535766
"c(556734.491982546, 4892428.90554045)",556734.4919825464,4892428.905540448,41,5.655681818181818,1.2262322401535766
"c(555916.226809479, 4892027.5192909)",555916.2268094788,4892027.519290903,42,5.655681818181818,1.2262322401535766
"c(555167.419576856, 4891360.67860372)",555167.4195768557,4891360.678603725,43,5.655681818181818,1.2262322401535766
"c(554296.478431848, 4891227.91977629)",554296.4784318481,4891227.919776289,44,5.655681818181818,1.2262322401535766
"c(565809.389698352, 4904670.83515782)",565809.3896983522,4904670.835157822,45,10.702890173410404,2.95344551931171
"c(565151.730478999, 4904211.80424517)",565151.7304789985,4904211.804245171,46,10.702890173410404,2.95344551931171
"c(564702.917267798, 4903467.35900417)",564702.9172677976,4903467.359004173,47,10.702890173410404,2.95344551931171
"c(564458.943420688, 4902628.24102256)",564458.9434206884,4902628.241022556,48,10.702890173410404,2.95344551931171
"c(563790.075931861, 4901934.52334185)",563790.0759318614,4901934.52334185,49,10.702890173410404,2.95344551931171
"c(563042.841750953, 4901328.50046774)",563042.8417509531,4901328.500467743,50,11.488618421052632,2.1959167553620085
"c(562293.070874624, 4900740.53022518)",562293.070874624,4900740.530225175,51,11.488618421052632,2.1959167553620085
"c(561645.159808834, 4900348.31361823)",561645.1598088337,4900348.31361823,52,11.488618421052632,2.1959167553620085
"c(558684.414590379, 4905224.5223666)",558684.4145903791,4905224.522366599,53,11.610086206896552,2.2269372594936616
"c(558637.059311319, 4904426.96486112)",558637.0593113187,4904426.96486112,54,11.610086206896552,2.2269372594936616
"c(558666.586290918, 4903659.09128262)",558666.5862909184,4903659.091282623,55,11.610086206896552,2.2269372594936616
"c(559162.515739549, 4902909.25584453)",559162.515739549,4902909.25584453,56,11.610086206896552,2.2269372594936616
"c(559914.242650888, 4902597.34046792)",559914.2426508877,4902597.340467917,57,11.610086206896552,2.2269372594936616
"c(560543.231568913, 4902000.79684298)",560543.2315689125,4902000.796842984,58,11.610086206896552,2.2269372594936616
"c(561015.051714245, 4901279.54527387)",561015.0517142453,4901279.545273875,59,11.610086206896552,2.2269372594936616
"c(561032.169676348, 4900389.08185132)",561032.1696763481,4900389.081851316,60,11.610086206896552,2.2269372594936616
"c(569295.601892006, 4897823.99326734)",569295.6018920061,4897823.993267342,61,9.8,0
"c(568434.858245228, 4897948.03025393)",568434.8582452278,4897948.030253926,62,8.843103448275862,2.126690723712148
"c(567591.906940726, 4898185.35707083)",567591.9069407261,4898185.357070829,63,8.843103448275862,2.126690723712148
"c(566811.103686678, 4897738.25555472)",566811.1036866779,4897738.255554721,64,8.843103448275862,2.126690723712148
"c(566076.595790536, 4897593.90641212)",566076.5957905357,4897593.90641212,65,8.843103448275862,2.126690723712148
"c(565238.922878378, 4897863.31284103)",565238.9228783777,4897863.312841028,66,8.843103448275862,2.126690723712148
"c(564392.731931978, 4898054.3424674)",564392.731931978,4898054.342467397,67,11.250867052023121,3.030573253338381
"c(563567.153356228, 4898061.02274157)",563567.1533562278,4898061.022741571,68,11.250867052023121,3.030573253338381
"c(562732.987463398, 4897947.14979982)",562732.987463398,4897947.149799815,69,11.250867052023121,3.030573253338381
"c(562000.627527589, 4897551.26693197)",562000.6275275887,4897551.266931972,70,11.250867052023121,3.030573253338381
"c(561380.290960191, 4897565.49147047)",561380.2909601913,4897565.491470465,71,15.8,0
"c(560759.048729374, 4896987.80028767)",560759.0487293736,4896987.800287671,72,15.8,0
"c(560253.320196339, 4896335.19506546)",560253.3201963388,4896335.195065461,73,4.8545454545454545,1.0123273618574715
"c(559691.369317363, 4895914.70616645)",559691.3693173635,4895914.706166453,74,4.8545454545454545,1.0123273618574715
"c(559145.811803024, 4895250.92138903)",559145.8118030237,4895250.921389026,75,4.8545454545454545,1.0123273618574715
"c(568507.155244478, 4895729.84348725)",568507.1552444776,4895729.843487248,76,9.8,0
"c(567615.850254012, 4895687.87598268)",567615.8502540119,4895687.875982677,77,8.843103448275862,2.126690723712148
"c(566804.220240887, 4896157.77206918)",566804.2202408871,4896157.772069182,78,8.843103448275862,2.126690723712148
"c(566500.317008373, 4897005.05482796)",566500.3170083733,4897005.05482796,79,8.843103448275862,2.126690723712148
"c(567390.17399658, 4907648.89831943)",567390.1739965802,4907648.898319432,80,10.702890173410404,2.95344551931171
"c(566886.091298344, 4906903.26073375)",566886.091298344,4906903.260733748,81,10.702890173410404,2.95344551931171
"c(566419.81917013, 4906143.28051098)",566419.8191701303,4906143.28051098,82,10.702890173410404,2.95344551931171
"c(566172.02377863, 4905313.36301849)",566172.0237786295,4905313.36301849,83,10.702890173410404,2.95344551931171
"c(567319.888022378, 4901480.17660196)",567319.8880223783,4901480.176601957,84,10.702890173410404,2.95344551931171
"c(566608.482738569, 4901015.4971346)",566608.4827385686,4901015.497134597,85,10.702890173410404,2.95344551931171
"c(566112.872790424, 4900361.37743191)",566112.8727904237,4900361.377431909,86,10.702890173410404,2.95344551931171
"c(565491.536634937, 4899832.74593313)",565491.5366349367,4899832.74593313,87,10.702890173410404,2.95344551931171
