Popvars,sizecontrol,constMortans,mcruns,runtime,output_years,gridformat,gridsampling,summaryOutput,cdclimgentime,startcomp,implementcomp
PopVars_WCT_climate.csv,Y,1,5,125,0|24|49|74|99|124,cdpop,Sample,N,0|25,0,N
PopVars_WCT.csv,Y,1,5,125,0|24|49|74|99|124,cdpop,Sample,N,0,0,N
