PatchID,X,Y,K,K StDev,N0,Natal Grounds,Migration Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Back,Mortality Eggs,Migration Out Prob,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev
1,570653.8387680342,4896417.752246113,200,0,200,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,9.8|9.84|9.88|9.92|9.96|10|10.04|10.08|10.12|10.16|10.2|10.24|10.28|10.32|10.36|10.4|10.44|10.48|10.52|10.56|10.6|10.64|10.68|10.72|10.76|10.8|10.84|10.88|10.92|10.96|11|11.04|11.08|11.12|11.16|11.2|11.24|11.28|11.32|11.36|11.4|11.44|11.48|11.52|11.56|11.6|11.64|11.68|11.72|11.76|11.8|11.84,0,365,0
2,559725.9236323171,4897608.2315453375,200,0,200,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,15.8|15.84|15.88|15.92|15.96|16|16.04|16.08|16.12|16.16|16.2|16.24|16.28|16.32|16.36|16.4|16.44|16.48|16.52|16.56|16.6|16.64|16.68|16.72|16.76|16.8|16.84|16.88|16.92|16.96|17|17.04|17.08|17.12|17.16|17.2|17.24|17.28|17.32|17.36|17.4|17.44|17.48|17.52|17.56|17.6|17.64|17.68|17.72|17.76|17.8|17.84,0,365,0
3,558735.0238578571,4896299.212579836,200,0,200,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.10909090909091|5.14909090909091|5.18909090909091|5.22909090909091|5.26909090909091|5.30909090909091|5.34909090909091|5.38909090909091|5.42909090909091|5.46909090909091|5.50909090909091|5.54909090909091|5.58909090909091|5.62909090909091|5.66909090909091|5.70909090909091|5.74909090909091|5.78909090909091|5.82909090909091|5.86909090909091|5.90909090909091|5.94909090909091|5.98909090909091|6.02909090909091|6.06909090909091|6.10909090909091|6.14909090909091|6.18909090909091|6.22909090909091|6.26909090909091|6.30909090909091|6.34909090909091|6.38909090909091|6.42909090909091|6.46909090909091|6.50909090909091|6.54909090909091|6.58909090909091|6.62909090909091|6.66909090909091|6.70909090909091|6.74909090909091|6.78909090909091|6.82909090909091|6.86909090909091|6.90909090909091|6.94909090909091|6.98909090909091|7.02909090909091|7.06909090909091|7.10909090909091|7.14909090909091,0,365,0
4,560253.3201963388,4896335.195065461,200,0,200,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,4.85454545454545|4.89454545454545|4.93454545454545|4.97454545454545|5.01454545454545|5.05454545454545|5.09454545454545|5.13454545454545|5.17454545454545|5.21454545454545|5.25454545454545|5.29454545454545|5.33454545454545|5.37454545454545|5.41454545454545|5.45454545454546|5.49454545454546|5.53454545454546|5.57454545454546|5.61454545454546|5.65454545454546|5.69454545454546|5.73454545454546|5.77454545454546|5.81454545454546|5.85454545454546|5.89454545454546|5.93454545454546|5.97454545454546|6.01454545454546|6.05454545454546|6.09454545454546|6.13454545454546|6.17454545454546|6.21454545454546|6.25454545454546|6.29454545454546|6.33454545454546|6.37454545454546|6.41454545454546|6.45454545454546|6.49454545454546|6.53454545454546|6.57454545454546|6.61454545454546|6.65454545454546|6.69454545454546|6.73454545454546|6.77454545454546|6.81454545454546|6.85454545454546|6.89454545454546,0,365,0
5,561911.025677487,4905611.787402509,200,0,200,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,11.4886184210526|11.5286184210526|11.5686184210526|11.6086184210526|11.6486184210526|11.6886184210526|11.7286184210526|11.7686184210526|11.8086184210526|11.8486184210526|11.8886184210526|11.9286184210526|11.9686184210526|12.0086184210526|12.0486184210526|12.0886184210526|12.1286184210526|12.1686184210526|12.2086184210526|12.2486184210526|12.2886184210526|12.3286184210526|12.3686184210526|12.4086184210526|12.4486184210526|12.4886184210526|12.5286184210526|12.5686184210526|12.6086184210526|12.6486184210526|12.6886184210526|12.7286184210526|12.7686184210526|12.8086184210526|12.8486184210526|12.8886184210526|12.9286184210526|12.9686184210526|13.0086184210526|13.0486184210526|13.0886184210526|13.1286184210526|13.1686184210526|13.2086184210526|13.2486184210526|13.2886184210526|13.3286184210526|13.3686184210526|13.4086184210526|13.4486184210526|13.4886184210526|13.5286184210526,0,365,0
