PatchID,X,Y,K,K StDev,N0,Natal Grounds,Migration Grounds,Class Vars,Mortality Out %,Mortality Back,Mortality Eggs,Migration Out Prob,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev
11,560229.1858198945,4898292.828348622,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,15.8|15.84|15.88|15.92|15.96|16|16.04|16.08|16.12|16.16|16.2|16.24|16.28|16.32|16.36|16.4|16.44|16.48|16.52|16.56|16.6|16.64|16.68|16.72|16.76|16.8|16.84|16.88|16.92|16.96|17|17.04|17.08|17.12|17.16|17.2|17.24|17.28|17.32|17.36|17.4|17.44|17.48|17.52|17.56|17.6|17.64|17.68|17.72|17.76|17.8|17.84,0,365,0
12,559725.9236323171,4897608.2315453375,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,15.8|15.84|15.88|15.92|15.96|16|16.04|16.08|16.12|16.16|16.2|16.24|16.28|16.32|16.36|16.4|16.44|16.48|16.52|16.56|16.6|16.64|16.68|16.72|16.76|16.8|16.84|16.88|16.92|16.96|17|17.04|17.08|17.12|17.16|17.2|17.24|17.28|17.32|17.36|17.4|17.44|17.48|17.52|17.56|17.6|17.64|17.68|17.72|17.76|17.8|17.84,0,365,0
13,559134.5151697645,4897013.614211861,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.10909090909091|5.14909090909091|5.18909090909091|5.22909090909091|5.26909090909091|5.30909090909091|5.34909090909091|5.38909090909091|5.42909090909091|5.46909090909091|5.50909090909091|5.54909090909091|5.58909090909091|5.62909090909091|5.66909090909091|5.70909090909091|5.74909090909091|5.78909090909091|5.82909090909091|5.86909090909091|5.90909090909091|5.94909090909091|5.98909090909091|6.02909090909091|6.06909090909091|6.10909090909091|6.14909090909091|6.18909090909091|6.22909090909091|6.26909090909091|6.30909090909091|6.34909090909091|6.38909090909091|6.42909090909091|6.46909090909091|6.50909090909091|6.54909090909091|6.58909090909091|6.62909090909091|6.66909090909091|6.70909090909091|6.74909090909091|6.78909090909091|6.82909090909091|6.86909090909091|6.90909090909091|6.94909090909091|6.98909090909091|7.02909090909091|7.06909090909091|7.10909090909091|7.14909090909091,0,365,0
14,564785.082271073,4899531.078872403,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,10.7028901734104|10.7428901734104|10.7828901734104|10.8228901734104|10.8628901734104|10.9028901734104|10.9428901734104|10.9828901734104|11.0228901734104|11.0628901734104|11.1028901734104|11.1428901734104|11.1828901734104|11.2228901734104|11.2628901734104|11.3028901734104|11.3428901734104|11.3828901734104|11.4228901734104|11.4628901734104|11.5028901734104|11.5428901734104|11.5828901734104|11.6228901734104|11.6628901734104|11.7028901734104|11.7428901734104|11.7828901734104|11.8228901734104|11.8628901734104|11.9028901734104|11.9428901734104|11.9828901734104|12.0228901734104|12.0628901734104|12.1028901734104|12.1428901734104|12.1828901734104|12.2228901734104|12.2628901734104|12.3028901734104|12.3428901734104|12.3828901734104|12.4228901734104|12.4628901734104|12.5028901734104|12.5428901734104|12.5828901734104|12.6228901734104|12.6628901734104|12.7028901734104|12.7428901734104,0,365,0
15,564129.9047488964,4898957.261652799,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,11.2508670520231|11.2908670520231|11.3308670520231|11.3708670520231|11.4108670520231|11.4508670520231|11.4908670520231|11.5308670520231|11.5708670520231|11.6108670520231|11.6508670520231|11.6908670520231|11.7308670520231|11.7708670520231|11.8108670520231|11.8508670520231|11.8908670520231|11.9308670520231|11.9708670520231|12.0108670520231|12.0508670520231|12.0908670520231|12.1308670520231|12.1708670520231|12.2108670520231|12.2508670520231|12.2908670520231|12.3308670520231|12.3708670520231|12.4108670520231|12.4508670520231|12.4908670520231|12.5308670520231|12.5708670520231|12.6108670520231|12.6508670520231|12.6908670520231|12.7308670520231|12.7708670520231|12.8108670520231|12.8508670520231|12.8908670520231|12.9308670520231|12.9708670520231|13.0108670520231|13.0508670520231|13.0908670520231|13.1308670520231|13.1708670520231|13.2108670520231|13.2508670520231|13.2908670520231,0,365,0
16,563442.8981459695,4898397.609995738,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,11.2508670520231|11.2908670520231|11.3308670520231|11.3708670520231|11.4108670520231|11.4508670520231|11.4908670520231|11.5308670520231|11.5708670520231|11.6108670520231|11.6508670520231|11.6908670520231|11.7308670520231|11.7708670520231|11.8108670520231|11.8508670520231|11.8908670520231|11.9308670520231|11.9708670520231|12.0108670520231|12.0508670520231|12.0908670520231|12.1308670520231|12.1708670520231|12.2108670520231|12.2508670520231|12.2908670520231|12.3308670520231|12.3708670520231|12.4108670520231|12.4508670520231|12.4908670520231|12.5308670520231|12.5708670520231|12.6108670520231|12.6508670520231|12.6908670520231|12.7308670520231|12.7708670520231|12.8108670520231|12.8508670520231|12.8908670520231|12.9308670520231|12.9708670520231|13.0108670520231|13.0508670520231|13.0908670520231|13.1308670520231|13.1708670520231|13.2108670520231|13.2508670520231|13.2908670520231,0,365,0
17,550926.9173321242,4893189.244972364,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.65568181818182|5.69568181818182|5.73568181818182|5.77568181818182|5.81568181818182|5.85568181818182|5.89568181818182|5.93568181818182|5.97568181818182|6.01568181818182|6.05568181818182|6.09568181818182|6.13568181818182|6.17568181818182|6.21568181818182|6.25568181818182|6.29568181818182|6.33568181818182|6.37568181818182|6.41568181818182|6.45568181818182|6.49568181818182|6.53568181818182|6.57568181818182|6.61568181818182|6.65568181818182|6.69568181818182|6.73568181818182|6.77568181818182|6.81568181818182|6.85568181818182|6.89568181818182|6.93568181818182|6.97568181818182|7.01568181818182|7.05568181818182|7.09568181818182|7.13568181818182|7.17568181818182|7.21568181818182|7.25568181818182|7.29568181818182|7.33568181818182|7.37568181818182|7.41568181818182|7.45568181818182|7.49568181818182|7.53568181818182|7.57568181818182|7.61568181818182|7.65568181818182|7.69568181818182,0,365,0
18,551677.5851539315,4892626.027159065,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.00253164556962|5.04253164556962|5.08253164556962|5.12253164556962|5.16253164556962|5.20253164556962|5.24253164556962|5.28253164556962|5.32253164556962|5.36253164556962|5.40253164556962|5.44253164556962|5.48253164556962|5.52253164556962|5.56253164556962|5.60253164556962|5.64253164556962|5.68253164556962|5.72253164556962|5.76253164556962|5.80253164556962|5.84253164556962|5.88253164556962|5.92253164556962|5.96253164556962|6.00253164556962|6.04253164556962|6.08253164556962|6.12253164556962|6.16253164556962|6.20253164556962|6.24253164556962|6.28253164556962|6.32253164556962|6.36253164556962|6.40253164556962|6.44253164556962|6.48253164556962|6.52253164556962|6.56253164556962|6.60253164556962|6.64253164556962|6.68253164556962|6.72253164556962|6.76253164556962|6.80253164556962|6.84253164556962|6.88253164556962|6.92253164556962|6.96253164556962|7.00253164556962|7.04253164556962,0,365,0
19,552084.4977092419,4891910.781574821,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.00253164556962|5.04253164556962|5.08253164556962|5.12253164556962|5.16253164556962|5.20253164556962|5.24253164556962|5.28253164556962|5.32253164556962|5.36253164556962|5.40253164556962|5.44253164556962|5.48253164556962|5.52253164556962|5.56253164556962|5.60253164556962|5.64253164556962|5.68253164556962|5.72253164556962|5.76253164556962|5.80253164556962|5.84253164556962|5.88253164556962|5.92253164556962|5.96253164556962|6.00253164556962|6.04253164556962|6.08253164556962|6.12253164556962|6.16253164556962|6.20253164556962|6.24253164556962|6.28253164556962|6.32253164556962|6.36253164556962|6.40253164556962|6.44253164556962|6.48253164556962|6.52253164556962|6.56253164556962|6.60253164556962|6.64253164556962|6.68253164556962|6.72253164556962|6.76253164556962|6.80253164556962|6.84253164556962|6.88253164556962|6.92253164556962|6.96253164556962|7.00253164556962|7.04253164556962,0,365,0
20,552694.2910958411,4891120.871143194,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.00253164556962|5.04253164556962|5.08253164556962|5.12253164556962|5.16253164556962|5.20253164556962|5.24253164556962|5.28253164556962|5.32253164556962|5.36253164556962|5.40253164556962|5.44253164556962|5.48253164556962|5.52253164556962|5.56253164556962|5.60253164556962|5.64253164556962|5.68253164556962|5.72253164556962|5.76253164556962|5.80253164556962|5.84253164556962|5.88253164556962|5.92253164556962|5.96253164556962|6.00253164556962|6.04253164556962|6.08253164556962|6.12253164556962|6.16253164556962|6.20253164556962|6.24253164556962|6.28253164556962|6.32253164556962|6.36253164556962|6.40253164556962|6.44253164556962|6.48253164556962|6.52253164556962|6.56253164556962|6.60253164556962|6.64253164556962|6.68253164556962|6.72253164556962|6.76253164556962|6.80253164556962|6.84253164556962|6.88253164556962|6.92253164556962|6.96253164556962|7.00253164556962|7.04253164556962,0,365,0
21,553136.3161801392,4890223.265587336,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.00253164556962|5.04253164556962|5.08253164556962|5.12253164556962|5.16253164556962|5.20253164556962|5.24253164556962|5.28253164556962|5.32253164556962|5.36253164556962|5.40253164556962|5.44253164556962|5.48253164556962|5.52253164556962|5.56253164556962|5.60253164556962|5.64253164556962|5.68253164556962|5.72253164556962|5.76253164556962|5.80253164556962|5.84253164556962|5.88253164556962|5.92253164556962|5.96253164556962|6.00253164556962|6.04253164556962|6.08253164556962|6.12253164556962|6.16253164556962|6.20253164556962|6.24253164556962|6.28253164556962|6.32253164556962|6.36253164556962|6.40253164556962|6.44253164556962|6.48253164556962|6.52253164556962|6.56253164556962|6.60253164556962|6.64253164556962|6.68253164556962|6.72253164556962|6.76253164556962|6.80253164556962|6.84253164556962|6.88253164556962|6.92253164556962|6.96253164556962|7.00253164556962|7.04253164556962,0,365,0
22,554020.7335124147,4893990.585478699,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.65568181818182|5.69568181818182|5.73568181818182|5.77568181818182|5.81568181818182|5.85568181818182|5.89568181818182|5.93568181818182|5.97568181818182|6.01568181818182|6.05568181818182|6.09568181818182|6.13568181818182|6.17568181818182|6.21568181818182|6.25568181818182|6.29568181818182|6.33568181818182|6.37568181818182|6.41568181818182|6.45568181818182|6.49568181818182|6.53568181818182|6.57568181818182|6.61568181818182|6.65568181818182|6.69568181818182|6.73568181818182|6.77568181818182|6.81568181818182|6.85568181818182|6.89568181818182|6.93568181818182|6.97568181818182|7.01568181818182|7.05568181818182|7.09568181818182|7.13568181818182|7.17568181818182|7.21568181818182|7.25568181818182|7.29568181818182|7.33568181818182|7.37568181818182|7.41568181818182|7.45568181818182|7.49568181818182|7.53568181818182|7.57568181818182|7.61568181818182|7.65568181818182|7.69568181818182,0,365,0
23,553156.9598887953,4895231.93576352,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.65568181818182|5.69568181818182|5.73568181818182|5.77568181818182|5.81568181818182|5.85568181818182|5.89568181818182|5.93568181818182|5.97568181818182|6.01568181818182|6.05568181818182|6.09568181818182|6.13568181818182|6.17568181818182|6.21568181818182|6.25568181818182|6.29568181818182|6.33568181818182|6.37568181818182|6.41568181818182|6.45568181818182|6.49568181818182|6.53568181818182|6.57568181818182|6.61568181818182|6.65568181818182|6.69568181818182|6.73568181818182|6.77568181818182|6.81568181818182|6.85568181818182|6.89568181818182|6.93568181818182|6.97568181818182|7.01568181818182|7.05568181818182|7.09568181818182|7.13568181818182|7.17568181818182|7.21568181818182|7.25568181818182|7.29568181818182|7.33568181818182|7.37568181818182|7.41568181818182|7.45568181818182|7.49568181818182|7.53568181818182|7.57568181818182|7.61568181818182|7.65568181818182|7.69568181818182,0,365,0
24,561429.9839384711,4897081.0326795075,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,15.8|15.84|15.88|15.92|15.96|16|16.04|16.08|16.12|16.16|16.2|16.24|16.28|16.32|16.36|16.4|16.44|16.48|16.52|16.56|16.6|16.64|16.68|16.72|16.76|16.8|16.84|16.88|16.92|16.96|17|17.04|17.08|17.12|17.16|17.2|17.24|17.28|17.32|17.36|17.4|17.44|17.48|17.52|17.56|17.6|17.64|17.68|17.72|17.76|17.8|17.84,0,365,0
25,561980.4740448695,4896910.899998641,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,11.2508670520231|11.2908670520231|11.3308670520231|11.3708670520231|11.4108670520231|11.4508670520231|11.4908670520231|11.5308670520231|11.5708670520231|11.6108670520231|11.6508670520231|11.6908670520231|11.7308670520231|11.7708670520231|11.8108670520231|11.8508670520231|11.8908670520231|11.9308670520231|11.9708670520231|12.0108670520231|12.0508670520231|12.0908670520231|12.1308670520231|12.1708670520231|12.2108670520231|12.2508670520231|12.2908670520231|12.3308670520231|12.3708670520231|12.4108670520231|12.4508670520231|12.4908670520231|12.5308670520231|12.5708670520231|12.6108670520231|12.6508670520231|12.6908670520231|12.7308670520231|12.7708670520231|12.8108670520231|12.8508670520231|12.8908670520231|12.9308670520231|12.9708670520231|13.0108670520231|13.0508670520231|13.0908670520231|13.1308670520231|13.1708670520231|13.2108670520231|13.2508670520231|13.2908670520231,0,365,0
26,568116.9367420715,4898458.471928619,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,8.84310344827586|8.88310344827586|8.92310344827586|8.96310344827586|9.00310344827586|9.04310344827586|9.08310344827586|9.12310344827586|9.16310344827586|9.20310344827585|9.24310344827585|9.28310344827585|9.32310344827585|9.36310344827585|9.40310344827585|9.44310344827585|9.48310344827585|9.52310344827585|9.56310344827585|9.60310344827585|9.64310344827584|9.68310344827584|9.72310344827584|9.76310344827584|9.80310344827584|9.84310344827584|9.88310344827584|9.92310344827584|9.96310344827584|10.0031034482758|10.0431034482758|10.0831034482758|10.1231034482758|10.1631034482758|10.2031034482758|10.2431034482758|10.2831034482758|10.3231034482758|10.3631034482758|10.4031034482758|10.4431034482758|10.4831034482758|10.5231034482758|10.5631034482758|10.6031034482758|10.6431034482758|10.6831034482758|10.7231034482758|10.7631034482758|10.8031034482758|10.8431034482758|10.8831034482758,0,365,0
27,557234.7823781174,4901148.798986421,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,11.6100862068966|11.6500862068966|11.6900862068966|11.7300862068965|11.7700862068965|11.8100862068965|11.8500862068965|11.8900862068965|11.9300862068965|11.9700862068965|12.0100862068965|12.0500862068965|12.0900862068965|12.1300862068965|12.1700862068965|12.2100862068965|12.2500862068965|12.2900862068965|12.3300862068965|12.3700862068965|12.4100862068965|12.4500862068965|12.4900862068965|12.5300862068965|12.5700862068965|12.6100862068965|12.6500862068965|12.6900862068965|12.7300862068965|12.7700862068965|12.8100862068965|12.8500862068965|12.8900862068965|12.9300862068965|12.9700862068965|13.0100862068965|13.0500862068965|13.0900862068965|13.1300862068965|13.1700862068965|13.2100862068965|13.2500862068965|13.2900862068965|13.3300862068965|13.3700862068965|13.4100862068965|13.4500862068965|13.4900862068965|13.5300862068965|13.5700862068965|13.6100862068965|13.6500862068965,0,365,0
28,557794.2051204776,4900411.65185776,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,15.8|15.84|15.88|15.92|15.96|16|16.04|16.08|16.12|16.16|16.2|16.24|16.28|16.32|16.36|16.4|16.44|16.48|16.52|16.56|16.6|16.64|16.68|16.72|16.76|16.8|16.84|16.88|16.92|16.96|17|17.04|17.08|17.12|17.16|17.2|17.24|17.28|17.32|17.36|17.4|17.44|17.48|17.52|17.56|17.6|17.64|17.68|17.72|17.76|17.8|17.84,0,365,0
